idiom,meaning
간 이 붓,지나치 게 대담 하 아 지
간 작,대담 하 지 못하 고 몹시 겁 이 많
간 이 작,대담 하 지 못하 고 몹시 겁 이 많
간 크,겁 이 없 고 매우 대담 하
간 이 크,겁 이 없 고 매우 대담 하
간 타,너무 근심 스럽 고 안타깝 어 속 이 타 는 듯 하
간 이 타,너무 근심 스럽 고 안타깝 어 속 이 타 는 듯 하
간담 을 헤치,속 마음 을 숨김없이 다 말 하
간담 이 내려앉,몹시 놀라
간담 이 떨어지,몹시 놀라
간담 이 서늘 하,몹시 놀라 서 섬뜩 하
간담 이 한 움큼 되,몹시 놀라 고 두려워하
간 덩이 붓,지나치 게 대담 하 아 지
간 덩이 가 붓,지나치 게 대담 하 아 지
간 덩이 작,대담 하 지 못하 고 몹시 겁 이 많
간 덩이 가 작,대담 하 지 못하 고 몹시 겁 이 많
간 덩이 크,겁 이 없 고 매우 대담 하
간 덩이 가 크,겁 이 없 고 매우 대담 하
간 덩이 를 키우,담력 과 도량 을 늘리
간 도 모르,일 의 내막 을 짐작 도 하 지 못하
간 도 쓸개 도 없,용기 나 줏 대 없이 남 에게 굽히
간땡이 붓,지나치 게 대담 하 아 지
간땡이 가 붓,지나치 게 대담 하 아 지
간땡이 크,대담 하 지 못하 고 몹시 겁 이 많
간땡이 가 크,대담 하 지 못하 고 몹시 겁 이 많
간땡이 를 키우,담력 과 도량 을 늘리
간발 의 차이,서로 엇비슷 하 ᆯ 정도 의 아주 작 은 차이
간언 들,잘 어울리 는 일 에 이간 하 는 말 이 끼어들
간언 이 들,잘 어울리 는 일 에 이간 하 는 말 이 끼어들
간 에 기별 도 안 가,먹 은 것 이 너무 적 어 먹 으나 마나 하
간 에 차 지 않,마음 에 흡족히 여기 어 지 지 않
간 을 꺼내 어 주,비위 를 맞추 기 위하 아 중요 하 ᆫ 것 을 아낌없이 주
간 을 녹이,몹시 애타 게 하
간 이 녹,몹시 애 가 타
간 이 덜렁 하,몹시 놀라 아 충격 을 받
간 이 덜렁 하,몹시 놀라 아 충격 을 받
간 이 덜렁 하,몹시 놀라 아 충격 을 받
간 이 떨리,마음 속 으로 몹시 겁 이
간 이 라도 빼 어 주 ᆯ 듯,무엇 이라도 아낌없이 내주 ᆯ 듯
간 이 라도 뽑 아 주 ᆯ 듯,무엇 이라도 아낌없이 내주 ᆯ 듯
간 이 라도 빼 어 먹이 ᆯ 듯,무엇 이라도 아낌없이 내주 ᆯ 듯
간 이 벌름거리,몹시 두렵 거나 놀랍 어 가슴 이 두근거리
간 이 서늘 하,위험 하 고 두렵 어 매우 놀라
간 이 오그라들,몹시 두렵 어 지 거나 무섭 어 지
간 이 오르,간 이 배어들
간 이 조마조마 하,마음 이 초조 하 고 불안 하
간 이 콩 알 만 하,몹시 겁 이 나서 기 를 펴 지 못하
간 이 콩 알 만 하 아 지,몹시 두렵 어 지 거나 무섭 어 지
간장 을 끊,몹시 애 가 타 거나 슬프
간장 을 녹이,몹시 애타 게 하
간장 을 태우,마음 을 몹시 초조 하 고 불안 하 게 만들
간장 이 끊 어 지,슬픔 이나 분노 따위 가 너무 크 어서 참 기 어렵
간장 이 녹,몹시 애 가 타
간장 이 사라지,몹시 놀라 거나 실망 하
간장 이 썩,마음 이 몹시 상하
간장 이 타,조바심 과 걱정 으로 속 이 끓
간판 따,겉 으로 내세우 기 위하 아 학력 이나 명분 을 갖추
간판 을 따,겉 으로 내세우 기 위하 아 학력 이나 명분 을 갖추
간판 을 걸,개업 을 하 거나 단체 따위 가 활동 을 시작 하
간판 을 내리,폐업 을 하 거나 단체 따위 가 활동 을 중지 하
간 힘 주,간 힘 을 아랫 배 에 내리밀
간 힘 을 주,간 힘 을 아랫 배 에 내리밀
가 ᆯ 켜,기둥 의 사개 나 인방 의 가름 장 따위 의 갈 을 만들 기 위하 여 톱 질 을 하
갈 을 켜,기둥 의 사개 나 인방 의 가름 장 따위 의 갈 을 만들 기 위하 여 톱 질 을 하
가 ᆯ 타,기둥 의 사개 나 인방 의 가름 장 의 갈 을 만들
갈 을 타,기둥 의 사개 나 인방 의 가름 장 의 갈 을 만들
가 ᆯ 길 이 멀,앞 으로 하 아야 하 ᆯ 일 들 이 많이 남 아 있
가 ᆯ 데 까지 가,도달 하 ᆯ 수 있 는 가장 극단 의 상태 나 상황 이 되
갈림 길 에 서,선택 을 하 아야 하 는 위치 에 놓이
갈비 휘,갈비 뼈 가 휘 ᆯ 정도 로 책임 이나 짐 이 무겁
갈비 가 휘,갈비 뼈 가 휘 ᆯ 정도 로 책임 이나 짐 이 무겁
갈빗 대 휘,갈빗 대 가 휘 ᆯ 정도 로 책임 이나 짐 이 무겁
갈빗 대 가 휘,갈빗 대 가 휘 ᆯ 정도 로 책임 이나 짐 이 무겁
갈지 자 를 그리,똑바로 걷 지 아니하 고 이리 비틀 저리 비틀 하 며 걷
감옥 귀신 을 만들,감옥 에서 죽 게 하
감옥 신세 를 지,감옥 살이 하
감정 사,남 의 감정 을 언짢 게 만들
감정 을 사,남 의 감정 을 언짢 게 만들
감정 오르,언짢 은 마음 이 생기
감정 이 오르,언짢 은 마음 이 생기
감정 을 잡,분위기 에 맞 는 감정 을 충분히 소화 하 여 감정 을 표현 하
감정 을 해치,남 을 불쾌 하 게 하
감 중련 을 하,입 을 다물 고 말 을 하 지 않
감투 쓰,벼슬 자리 나 높 은 지위 에 오르
감투 를 쓰,벼슬 자리 나 높 은 지위 에 오르
감투 를 벗,벼슬 자리 를 그만두
감투 를 씌우,벼슬 자리 나 높 은 지위 에 오르 게 만들
값 보다,사려 는 물건 의 값 을 어림 하 여 보
값 을 보,사려 는 물건 의 값 을 어림 하 여 보
값 닿,물건 흥정 에서 사 거나 팔 기 에 알맞 은 값 에 이르
값 이 닿,물건 흥정 에서 사 거나 팔 기 에 알맞 은 값 에 이르
강 바치,배우 ᆫ 글 을 스승 앞 에서 외어 올리
강 을 바치,배우 ᆫ 글 을 스승 앞 에서 외어 올리
강 받,자기 가 듣 는 앞 에서 글 을 외 어 바치 게 하
강 을 받,자기 가 듣 는 앞 에서 글 을 외 어 바치 게 하
강 건너 어 불 구경,자기 에게 관계없 는 일 이 라고 하 여 무 관심 하 게 방관 하
강 건너 어 불 보,자기 에게 관계없 는 일 이 라고 하 여 무 관심 하 게 방관 하
강단 에 서,교직 생활 을 하
강목 치,아무런 소득 없이 허탕 을 치
강목 치르,아무런 소득 없이 허탕 을 치
강목 을 치,아무런 소득 없이 허탕 을 치
강목 을 치르,아무런 소득 없이 허탕 을 치
강 풀 치,풀 을 먹이 ᆫ 위 에 또 된 풀 을 칠하
강 풀 을 치,풀 을 먹이 ᆫ 위 에 또 된 풀 을 칠하
갖 고 놀,사람 을 놀리 거나 멸시 하
같 은 값 에,이렇게 하 든지 저렇게 하 든지 물질 이나 노력 이 드 는 정도 가 마찬가지 이 ㄴ데
같 은 값 이 면,값 이나 힘 이 드 는 정도 가 같 을 바 에 는
같 은 물 에 놀,같 은 환경 에서 하 ᆫ 데 몰려다니 며 같 은 짓 을 하
개가 를 올리,크 ᆫ 성과 를 거두
개 나발 불,사리 에 맞 지 아니하 는 헛 소리 를 하
개 나발 을 불,사리 에 맞 지 아니하 는 헛 소리 를 하
개 떡 같이 주무르,저 의 마음 대로 함부로 다루
개 똥 도 모르 ᆫ다,아무것 도 모르 ᆫ다
개 똥 도 없,아무것 도 없
개미 새끼 하나 도 얼씬 못 하 ᆫ다,허락 되 ᆫ 사람 외 에 는 아무 도 얼씬 하 지 못하 ᆫ다
개미 새끼 하나 보 ᆯ 수 없,아무 도 찾아보 ᆯ 수 없
개 발 싸개 같,보잘것없이 허름 하 고 빈약 하
개 발 에 땀 나,해내 기 어렵 ᆫ 일 을 이루 기 위하 여 부지런히 움직이
개 방귀 같,있 는지 조차 알 ᆯ 수 없 을 정도 로 작 고 시시 하
개 뿔 도 모르,아무것 도 모르
개 뿔 도 아니,특별히 내세우 ᆯ 만 하 ᆫ 능력 이 없
개 뿔 도 없,"돈 이나 명예 , 능력 따위 를 전혀 갖 고 있 지 아니하"
개 살구 먹 은 뒷 맛,씁쓸 하 고 떨떠름 하 ᆫ 뒷 맛
개 새끼 한 마리 얼씬 하 지 않,아무것 도 다니 지 않 고 조용 하
개 소리 치,당하 지 않 은 말 을 마구 지껄이
개 소리 를 치,당하 지 않 은 말 을 마구 지껄이
개 싸대,아무 데 나 함부로 마구 쏘다니
개암 도르,매가 먹 었 던 먹이 에서 고기 는 삭이 고 개암 만 토하 아 내
개암 을 도르,매가 먹 었 던 먹이 에서 고기 는 삭이 고 개암 만 토하 아 내
개암 지르,매 의 먹이 에 솜 뭉치 를 넣 어 주
개암 을 지르,매 의 먹이 에 솜 뭉치 를 넣 어 주
개 자리 지,모 를 내 ᆯ 때 모 포기 가 한 부분 만 성기 게 심 어 지 어서 층 이 지
개 자리 가 지,모 를 내 ᆯ 때 모 포기 가 한 부분 만 성기 게 심 어 지 어서 층 이 지
개 잡,개 를 잡 을 때 처럼 함부로 치 고 때리
개 콧 구멍 으로 알,시시 하 ᆫ 것 으로 알 아 대수롭 지 아니하 게 여기
개탕 치,장지 틀 이나 빈지 틀 따위 에 홈 을 파내
개탕 을 치,장지 틀 이나 빈지 틀 따위 에 홈 을 파내
개 패,함부로 때리 고 치
개평 떼,개평 을 얻 어 가지
개평 을 떼,개평 을 얻 어 가지
개평 뜯,조르 아서 억지로 개평 을 얻 어 가지
개평 을 뜯,조르 아서 억지로 개평 을 얻 어 가지
개화 물 먹,개화 사상 의 풍조 를 따르 거나 영향 을 받
개화 물 을 먹,개화 사상 의 풍조 를 따르 거나 영향 을 받
개화 물 이 들,개화 사상 의 풍조 를 긍정 하 고 따르 게 되
갱 달,광맥 을 따르 아 갱도 를 뚫
갱 을 달,광맥 을 따르 아 갱도 를 뚫
거간 을 서,거간 이 되 어 흥정 을 붙이 어 주
거꾸로 박히,머리 를 아래 로 하 고 떨어지
거듭 태어나,새롭 게 면모 를 갖추
거름 발 나,거름 효과 가 나
거리 가 멀,기대 하 거나 비교 하 는 것 에 미치 지 못하
거리 가 생기,관계 가 서먹서먹 하 아 지 거나 멀 어 지
거리 에 나앉,집 안 이 망하 아서 집 이 남 의 것 이 되 어 오가 ᆯ 데 가 없
거미 새끼 풍기,많 은 사람 이나 물건 이 일시 에 흩어지
거미 새끼 흩어지,많 은 사람 이나 물건 이 일시 에 흩어지
거미 새끼 헤어지,많 은 사람 이나 물건 이 일시 에 흩어지
거미 알 까 듯,어수선 하 고 산만 하 게 흩어지 어 있 는 모양
거미 알 스 ㄹ 듯,어수선 하 고 산만 하 게 흩어지 어 있 는 모양
거미 줄 누르,"방 에 구들 을 놓 을 때 , 구들 장 과 구들 장 사이 의 틈 을 진 흙 으로 바르"
거미 줄 을 누르,"방 에 구들 을 놓 을 때 , 구들 장 과 구들 장 사이 의 틈 을 진 흙 으로 바르"
거미 줄 늘이,피의 자 나 죄인 을 잡 기 위하 여 여러 방면 에 수사 망 을 널리 펴 어 놓
거미 줄 을 늘이,피의 자 나 죄인 을 잡 기 위하 여 여러 방면 에 수사 망 을 널리 펴 어 놓
거북 을 타,일 하 는 동작 이 남 보다 매우 굼뜨
거상 치,거상 하 는 풍악 을 치
거상 을 치,거상 하 는 풍악 을 치
거지 밥 주머니,너절 하 ᆫ 것 들 을 되 는 대로 뒤섞 어 넣 어 두 ᆫ 것
거지 술 안주,시시 하 고 보 잘 것 없 는 음식
거지 술 안주 같,시시 하 고 보 잘 것 없 는 음식
거짓 말 보태,실지 보다 더 보태 어 과장 하 아서 말 하
거짓 말 을 보태,실지 보다 더 보태 어 과장 하 아서 말 하
거칠 ᆯ 것 이 없,일 이 순조 롭 어서 막히 ᄆ 이 없
거품 물,감정 이 몹시 격하 아 지 ᆫ 상태 로 말 하
거품 을 물,감정 이 몹시 격하 아 지 ᆫ 상태 로 말 하
거품 치,차 ᆫ 공기 따위 를 쐬 어 거품 을 없애
거품 을 치,차 ᆫ 공기 따위 를 쐬 어 거품 을 없애
거품 잦,한창 성 하 던 것 이 맥없이 쓰러지
거품 이 잦,한창 성 하 던 것 이 맥없이 쓰러지
거품 을 품,감정 이 몹시 격하 아 지 어 흥분 하
걱정 을 잡아매,걱정 을 하 지 않 거나 그만두
걱정 이 태산 이,해결 하 아야 하 ᆯ 일 이 너무 많 거나 복잡 하 아서 걱정 이 태산 처럼 크
건넛 마을 불 구경 하,자기 에게 관계없 는 일 이 라고 하 여 무 관심 하 게 방관
건목 치,대강 짐작 하 여 정하
건목 을 치,대강 짐작 하 여 정하
건 몸 달,공연히 혼자 서 만 애쓰 며 안달 하
건 몸 을 달,공연히 혼자 서 만 애쓰 며 안달 하
건시 나 감 이나,결국 크 ᆫ 차이 없이 비슷비슷 하 ᆫ 물건
건즐 받들,여자 가 아내 나 첩 이 되
건즐 을 받들,여자 가 아내 나 첩 이 되
걸귀 들리 ᆫ 듯이,음식 을 지나치 게 탐내
걸귀 가 들리 ᆫ 듯이,음식 을 지나치 게 탐내
걸립 놀,걸립 의 행사 를 하
걸립 을 놀,걸립 의 행사 를 하
걸음 마 를 떼,처음 시작 하
걸음 마 를 타,이제 겨우 익히 기 시작 하
걸음 발 타,비틀거리 며 걷 기 시작 하
걸음 발 을 타,비틀거리 며 걷 기 시작 하
걸음 아 나 ᆯ 살리 어라,있 는 힘 을 다 하 여 매우 다급 하 게 도망치
걸음 을 떼,준비 하 아 오 던 일 을 처음 으로 하 기 시작 하
걸음 을 재촉 하,빨리 서두르 어 가
걸음 을 하,웃 어른 이나 지위 가 높 은 사람 이 들르
검 은 구름,암담 하 ᆫ 상황
검 은 마수 를 뻗치,사람 을 속이 어 이용 하 거나 해치 려고 음흉 하 고 흉악 하 ᆫ 속 셈 으로 접근 하
검 은 손 을 뻗치,사람 을 속이 어 이용 하 거나 해치 려고 음흉 하 고 흉악 하 ᆫ 속 셈 으로 접근 하
검 은 뱃 속 을 채우,더럽 ᆫ 속 셈 을 가지 고 자기 의 욕심 을 채우
검정 개 한 마리 얼씬 하 지 않,아무것 도 다니 지 않 고 조용 하
겁 질리,잔뜩 겁 을 먹 어서 기 를 못 쓰
겁 에 질리,잔뜩 겁 을 먹 어서 기 를 못 쓰
겉 물 돌,액체 의 위 에 겉 물 이 뜨 어서 돌
겉 물 이 돌,액체 의 위 에 겉 물 이 뜨 어서 돌
겉 으로 빙빙 돌,사물 의 핵심 을 파헤치 지 않 고 겉 에 나타나 ᆫ 현상 에 만 매달리
게걸 떼,마음껏 먹 어서 더 먹 고 싶 은 마음 이 없 어 지
게걸 을 떼,마음껏 먹 어서 더 먹 고 싶 은 마음 이 없 어 지
게 걸음 치,걸음 이 몹시 느리 거나 사업 이 발전 이 없
게 걸음 을 치,걸음 이 몹시 느리 거나 사업 이 발전 이 없
게 눈 감추,음식 을 허겁지겁 빨리 먹 어 치우
겨냥 대,활 이나 총 을 쏘 ᆯ 때 목표 물 에 맞 도록 어림 을 잡
겨냥 을 대,활 이나 총 을 쏘 ᆯ 때 목표 물 에 맞 도록 어림 을 잡
겨냥 보다,실물 에 맞 는 치수 와 양식 을 정하 기 위하 여 맞추 어 보
겨냥 을 보,실물 에 맞 는 치수 와 양식 을 정하 기 위하 여 맞추 어 보
겨린 잡,살인 범 의 이웃 사람 이나 범죄 현장 근처 로 지나가 는 사람 을 증인 으로 잡아가
겨린 을 잡,살인 범 의 이웃 사람 이나 범죄 현장 근처 로 지나가 는 사람 을 증인 으로 잡아가
겨린 잡히,살인 범 의 이웃 사람 이나 범죄 현장 근처 를 지나가 는 사람 이 증인 으로 불리 어 가
겨린 을 잡히,살인 범 의 이웃 사람 이나 범죄 현장 근처 를 지나가 는 사람 이 증인 으로 불리 어 가
격 두,사람 과 사람 사이 에 일정 하 ᆫ 간격 을 두
격 을 두,사람 과 사람 사이 에 일정 하 ᆫ 간격 을 두
격 치,"윷 놀이 에서 , 가깝 ᆫ 밭 으로 가 ᆯ 수 있 게 바라 는 끗 수 를 내"
격 을 치,"윷 놀이 에서 , 가깝 ᆫ 밭 으로 가 ᆯ 수 있 게 바라 는 끗 수 를 내"
견련 보다,서로 가 속 으로 은근히 꺼리 거나 겁내
견련 을 보,서로 가 속 으로 은근히 꺼리 거나 겁내
결 바르,성미 가 곧 고 바르
결 이 바르,성미 가 곧 고 바르
결 삭,성 이 나 ᆫ 마음 이 풀리 어 부드럽 어 지
결 이 삭,성 이 나 ᆫ 마음 이 풀리 어 부드럽 어 지
결박 짓,결박 을 단단히 하
결박 을 짓,결박 을 단단히 하
결 을 삭이,성 이 나 ᆫ 마음 을 풀 어 가라앉히
결창 터지,몹시 분하 여 속 이 터지
결창 이 터지,몹시 분하 여 속 이 터지
겻 섬 털 ᆯ 듯,무슨 일 을 함부로 하
경마 들,남 이 타 ᆫ 말 의 고삐 를 잡 고 몰 고 가
경마 를 들,남 이 타 ᆫ 말 의 고삐 를 잡 고 몰 고 가
경마 잡,남 이 타 ᆫ 말 의 고삐 를 잡 고 몰 고 가
경마 를 잡,남 이 타 ᆫ 말 의 고삐 를 잡 고 몰 고 가
경마 잡히,말 고삐 를 남 에게 잡히 어 몰 고 가 게 하
경마 를 잡히,말 고삐 를 남 에게 잡히 어 몰 고 가 게 하
경신 새,섣 달 중 의 경신 에 해당 하 는 날 에 밤 을 새우
경신 을 새,섣 달 중 의 경신 에 해당 하 는 날 에 밤 을 새우
경종 을 울리,잘못 이나 위험 을 미리 경계 하 여 주의 를 환기 시키
경치 좋,함께 있 는 남녀 가 잘 어울리 어 보 기 에 즐겁 ᆫ 마음 이 들
경치 가 좋,함께 있 는 남녀 가 잘 어울리 어 보 기 에 즐겁 ᆫ 마음 이 들
경해 에 접하,윗 사람 을 뵙
곁 떠나,가까이 지내 던 사람 이 죽
곁 을 떠나,가까이 지내 던 사람 이 죽
곁 비우,보호 하 거나 지키 는 사람 이 없 는 상태 가 되게 하
곁 을 비우,보호 하 거나 지키 는 사람 이 없 는 상태 가 되게 하
곁 주,다른 사람 으로 하여금 자기 에게 가까이 하 ᆯ 수 있 도록 속 을 트 어 주
곁 을 주,다른 사람 으로 하여금 자기 에게 가까이 하 ᆯ 수 있 도록 속 을 트 어 주
